,precision,recall,f1-score,support,modelo
False,0.9893891046095883,0.99902950310559,0.9941859342102721,25760.0,RandomForest
True,0.919093851132686,0.5071428571428571,0.6536248561565017,560.0,RandomForest
accuracy,0.988563829787234,0.988563829787234,0.988563829787234,0.988563829787234,RandomForest
macro avg,0.9542414778711372,0.7530861801242236,0.8239053951833869,26320.0,RandomForest
weighted avg,0.9878934609185904,0.988563829787234,0.9869399538261493,26320.0,RandomForest
False,0.9969716919025675,0.293944099378882,0.4540248838255134,25760.0,NaiveBayes
True,0.028678237650200267,0.9589285714285715,0.05569095151672284,560.0,NaiveBayes
accuracy,0.30809270516717324,0.30809270516717324,0.30809270516717324,0.30809270516717324,NaiveBayes
macro avg,0.5128249647763838,0.6264363354037268,0.25485791767111815,26320.0,NaiveBayes
weighted avg,0.9763697035142194,0.30809270516717324,0.4455496937763902,26320.0,NaiveBayes
False,0.9884818367425555,0.9961180124223602,0.9922852336665442,25760.0,LogisticRegression
True,0.7229916897506925,0.4660714285714286,0.5667752442996743,560.0,LogisticRegression
accuracy,0.9848404255319149,0.9848404255319149,0.9848404255319149,0.9848404255319149,LogisticRegression
macro avg,0.855736763246624,0.7310947204968944,0.7795302389831092,26320.0,LogisticRegression
weighted avg,0.9828331102108139,0.9848404255319149,0.9832318296374619,26320.0,LogisticRegression
False,0.9946251111712617,0.9985248447204969,0.9965711628988202,25760.0,SVM
True,0.9172113289760349,0.7517857142857143,0.8263002944062807,560.0,SVM
accuracy,0.9932750759878419,0.9932750759878419,0.9932750759878419,0.9932750759878419,SVM
macro avg,0.9559182200736482,0.8751552795031056,0.9114357286525505,26320.0,SVM
weighted avg,0.9929780094224271,0.9932750759878419,0.9929483784628087,26320.0,SVM
False,0.9961611539803792,0.9972826086956522,0.996721565888766,25760.0,MLPClassifier
True,0.8681732580037664,0.8232142857142857,0.845096241979835,560.0,MLPClassifier
accuracy,0.9935790273556231,0.9935790273556231,0.9935790273556231,0.9935790273556231,MLPClassifier
macro avg,0.9321672059920728,0.910248447204969,0.9209089039343006,26320.0,MLPClassifier
weighted avg,0.9934380072574724,0.9935790273556231,0.9934954951672994,26320.0,MLPClassifier
