,precision,recall,f1-score,support,modelo
1,0.9856373429084381,0.9803571428571428,0.9829901521933752,560.0,RandomForest
2,0.9597902097902098,0.9803571428571428,0.9699646643109541,560.0,RandomForest
3,0.9469964664310954,0.9571428571428572,0.9520426287744227,560.0,RandomForest
4,0.9823008849557522,0.9910714285714286,0.9866666666666667,560.0,RandomForest
5,0.9814814814814815,0.9464285714285714,0.9636363636363636,560.0,RandomForest
accuracy,0.9710714285714286,0.9710714285714286,0.9710714285714286,0.9710714285714286,RandomForest
macro avg,0.9712412771133954,0.9710714285714286,0.9710600951163565,2800.0,RandomForest
weighted avg,0.9712412771133955,0.9710714285714286,0.9710600951163563,2800.0,RandomForest
1,0.8850574712643678,0.9625,0.9221556886227545,560.0,NaiveBayes
2,0.889344262295082,0.775,0.8282442748091603,560.0,NaiveBayes
3,0.7811993517017828,0.8607142857142858,0.8190314358538657,560.0,NaiveBayes
4,0.9343339587242027,0.8892857142857142,0.9112534309240622,560.0,NaiveBayes
5,0.8083182640144665,0.7982142857142858,0.8032345013477089,560.0,NaiveBayes
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,NaiveBayes
macro avg,0.8596506615999804,0.8571428571428571,0.8567838663115104,2800.0,NaiveBayes
weighted avg,0.8596506615999804,0.8571428571428571,0.8567838663115104,2800.0,NaiveBayes
1,0.9584055459272097,0.9875,0.9727352682497801,560.0,LogisticRegression
2,0.9554730983302412,0.9196428571428571,0.9372156505914467,560.0,LogisticRegression
3,0.9245614035087719,0.9410714285714286,0.9327433628318584,560.0,LogisticRegression
4,0.9749552772808586,0.9732142857142857,0.9740840035746202,560.0,LogisticRegression
5,0.9513513513513514,0.9428571428571428,0.947085201793722,560.0,LogisticRegression
accuracy,0.9528571428571428,0.9528571428571428,0.9528571428571428,0.9528571428571428,LogisticRegression
macro avg,0.9529493352796866,0.9528571428571428,0.9527726974082855,2800.0,LogisticRegression
weighted avg,0.9529493352796866,0.9528571428571428,0.9527726974082855,2800.0,LogisticRegression
1,0.9928825622775801,0.9964285714285714,0.9946524064171123,560.0,SVM
2,0.9786476868327402,0.9821428571428571,0.9803921568627451,560.0,SVM
3,0.9767857142857143,0.9767857142857143,0.9767857142857143,560.0,SVM
4,0.9928825622775801,0.9964285714285714,0.9946524064171123,560.0,SVM
5,0.9891696750902527,0.9785714285714285,0.9838420107719928,560.0,SVM
accuracy,0.9860714285714286,0.9860714285714286,0.9860714285714286,0.9860714285714286,SVM
macro avg,0.9860736401527734,0.9860714285714286,0.9860649389509353,2800.0,SVM
weighted avg,0.9860736401527734,0.9860714285714286,0.9860649389509354,2800.0,SVM
1,0.9893428063943162,0.9946428571428572,0.9919857524487978,560.0,MLPClassifier
2,0.9767025089605734,0.9732142857142857,0.9749552772808586,560.0,MLPClassifier
3,0.9595070422535211,0.9732142857142857,0.9663120567375887,560.0,MLPClassifier
4,0.9875444839857651,0.9910714285714286,0.9893048128342246,560.0,MLPClassifier
5,0.9927140255009107,0.9732142857142857,0.9828674481514879,560.0,MLPClassifier
accuracy,0.9810714285714286,0.9810714285714286,0.9810714285714286,0.9810714285714286,MLPClassifier
macro avg,0.9811621734190172,0.9810714285714285,0.9810850694905915,2800.0,MLPClassifier
weighted avg,0.9811621734190173,0.9810714285714286,0.9810850694905915,2800.0,MLPClassifier
