,precision,recall,f1-score,support,modelo
0,0.9630931458699473,0.9785714285714285,0.970770593445527,560.0,RandomForest
1,0.9672727272727273,0.95,0.9585585585585585,560.0,RandomForest
2,0.9663120567375887,0.9732142857142857,0.9697508896797153,560.0,RandomForest
3,0.9731182795698925,0.9696428571428571,0.9713774597495528,560.0,RandomForest
4,0.9695885509838998,0.9678571428571429,0.968722073279714,560.0,RandomForest
accuracy,0.9678571428571429,0.9678571428571429,0.9678571428571429,0.9678571428571429,RandomForest
macro avg,0.9678769520868112,0.9678571428571427,0.9678359149426136,2800.0,RandomForest
weighted avg,0.9678769520868111,0.9678571428571429,0.9678359149426135,2800.0,RandomForest
0,0.8631386861313869,0.8446428571428571,0.8537906137184116,560.0,NaiveBayes
1,0.7391304347826086,0.45535714285714285,0.56353591160221,560.0,NaiveBayes
2,0.7309352517985611,0.9071428571428571,0.8095617529880478,560.0,NaiveBayes
3,0.8403846153846154,0.7803571428571429,0.8092592592592592,560.0,NaiveBayes
4,0.6372832369942196,0.7875,0.7044728434504792,560.0,NaiveBayes
accuracy,0.755,0.755,0.755,0.755,NaiveBayes
macro avg,0.7621744450182784,0.7550000000000001,0.7481240762036816,2800.0,NaiveBayes
weighted avg,0.7621744450182785,0.755,0.7481240762036815,2800.0,NaiveBayes
0,0.9347442680776014,0.9464285714285714,0.940550133096717,560.0,LogisticRegression
1,0.9178832116788321,0.8982142857142857,0.907942238267148,560.0,LogisticRegression
2,0.9312169312169312,0.9428571428571428,0.9370008873114463,560.0,LogisticRegression
3,0.9415929203539823,0.95,0.9457777777777778,560.0,LogisticRegression
4,0.9113924050632911,0.9,0.9056603773584906,560.0,LogisticRegression
accuracy,0.9275,0.9275,0.9275,0.9275,LogisticRegression
macro avg,0.9273659472781276,0.9275,0.9273862827623158,2800.0,LogisticRegression
weighted avg,0.9273659472781277,0.9275,0.9273862827623159,2800.0,LogisticRegression
0,0.9719298245614035,0.9892857142857143,0.9805309734513274,560.0,SVM
1,0.9765342960288809,0.9660714285714286,0.9712746858168761,560.0,SVM
2,0.980565371024735,0.9910714285714286,0.9857904085257548,560.0,SVM
3,0.9803921568627451,0.9821428571428571,0.9812667261373773,560.0,SVM
4,0.9872495446265938,0.9678571428571429,0.9774571686203787,560.0,SVM
accuracy,0.9792857142857143,0.9792857142857143,0.9792857142857143,0.9792857142857143,SVM
macro avg,0.9793342386208715,0.9792857142857143,0.9792639925103428,2800.0,SVM
weighted avg,0.9793342386208718,0.9792857142857143,0.9792639925103427,2800.0,SVM
0,0.9838998211091234,0.9821428571428571,0.9830205540661304,560.0,MLPClassifier
1,0.9729241877256317,0.9625,0.9676840215439856,560.0,MLPClassifier
2,0.9752212389380531,0.9839285714285714,0.9795555555555555,560.0,MLPClassifier
3,0.9630931458699473,0.9785714285714285,0.970770593445527,560.0,MLPClassifier
4,0.9819168173598554,0.9696428571428571,0.9757412398921833,560.0,MLPClassifier
accuracy,0.9753571428571428,0.9753571428571428,0.9753571428571428,0.9753571428571428,MLPClassifier
macro avg,0.9754110422005222,0.9753571428571428,0.9753543929006764,2800.0,MLPClassifier
weighted avg,0.9754110422005221,0.9753571428571428,0.9753543929006763,2800.0,MLPClassifier
