modelo,dataset,acc_treino,acc_teste,diferenca
NaiveBayes,binario,0.30643996960486325,0.30809270516717324,0.0016527355623099926
LogisticRegression,binario,0.986673632218845,0.9848404255319149,0.0018332066869301
SVM,binario,0.995345744680851,0.9932750759878419,0.0020706686930090923
MLPClassifier,binario,1.0,0.9935790273556231,0.00642097264437691
RandomForest,binario,1.0,0.988563829787234,0.011436170212765995
SVM,digitos,0.9958035714285715,0.9860714285714286,0.009732142857142856
NaiveBayes,digitos,0.8752678571428572,0.8571428571428571,0.018125000000000058
MLPClassifier,digitos,1.0,0.9810714285714286,0.018928571428571406
RandomForest,digitos,1.0,0.9710714285714286,0.028928571428571415
LogisticRegression,digitos,0.9828571428571429,0.9528571428571428,0.030000000000000027
NaiveBayes,letras,0.7609821428571428,0.755,0.005982142857142825
SVM,letras,0.9896428571428572,0.9792857142857143,0.010357142857142843
MLPClassifier,letras,1.0,0.9753571428571428,0.02464285714285719
RandomForest,letras,1.0,0.9678571428571429,0.03214285714285714
LogisticRegression,letras,0.9660714285714286,0.9275,0.03857142857142859
